Año,Distrito,Edad media,Sin estudios,Primaria,Secundaria,"Bachillerato, CFGM grado medio","Universidad, CFGM grado superior",Proporción de extranjeros,Renta,Precio de compraventa nueva,Precio de compraventa usada,Alojamientos turísticos
2015,1. Ciutat Vella  ,40.4,3172.0,25513.0,17439.0,17464.0,25154.0,42.56,12975.0,3456.2,3034.2,604.0
2015,2. Eixample  ,44.9,7003.0,32828.0,39062.0,61804.0,92334.0,18.17,22700.0,4345.9,3282.1,4607.0
2015,3. Sants-Montjuïc  ,43.7,7237.0,40155.0,36499.0,37915.0,36810.0,18.48,17528.0,2361.8,2329.6,1137.0
2015,4. Les Corts  ,45.5,2197.0,9199.0,11187.0,19593.0,28706.0,11.01,26214.0,5268.9,3409.8,215.0
2015,5. Sarrià-Sant Gervasi  ,42.9,2824.0,9425.0,14510.0,35034.0,60757.0,11.18,29607.0,3868.6,3953.7,512.0
2015,6. Gràcia  ,44.3,3393.0,14939.0,17770.0,27256.0,42057.0,15.0,21814.0,3174.6,3048.9,1081.0
2015,7. Horta-Guinardó  ,45.2,8437.0,32730.0,35023.0,37050.0,32119.0,11.51,18346.0,1928.5,2305.2,198.0
2015,8. Nou Barris  ,44.6,10392.0,43447.0,40184.0,30677.0,17658.0,14.61,15066.0,1702.7,1702.7,19.0
2015,9. Sant Andreu  ,43.9,5915.0,29978.0,31796.0,32777.0,25728.0,11.4,18283.0,1920.3,2209.0,69.0
2015,10. Sant Martí  ,43.3,10083.0,45755.0,47174.0,49115.0,48262.0,15.06,18845.0,2938.3,2883.1,1164.0
2016,1. Ciutat Vella  ,40.3,3172.0,25513.0,17439.0,17464.0,25154.0,43.08,13165.0,4656.2,3500.1,604.0
2016,2. Eixample  ,44.8,7003.0,32828.0,39062.0,61804.0,92334.0,18.61,23534.0,4470.9,3451.2,4465.0
2016,3. Sants-Montjuïc  ,43.8,7237.0,40155.0,36499.0,37915.0,36810.0,18.63,17793.0,2925.9,2460.9,1206.0
2016,4. Les Corts  ,45.6,2197.0,9199.0,11187.0,19593.0,28706.0,11.1,27690.0,4946.4,3655.7,266.0
2016,5. Sarrià-Sant Gervasi  ,42.9,2824.0,9425.0,14510.0,35034.0,60757.0,11.2,31777.0,4898.1,4302.9,512.0
2016,6. Gràcia  ,44.2,3393.0,14939.0,17770.0,27256.0,42057.0,15.25,22466.0,3434.2,3544.3,1080.0
2016,7. Horta-Guinardó  ,45.3,8437.0,32730.0,35023.0,37050.0,32119.0,11.64,18790.0,2574.6,2304.6,253.0
2016,8. Nou Barris  ,44.7,10392.0,43447.0,40184.0,30677.0,17658.0,14.77,15276.0,1954.4,1809.8,23.0
2016,9. Sant Andreu  ,44.0,5915.0,29978.0,31796.0,32777.0,25728.0,11.34,18712.0,2698.5,2333.9,81.0
2016,10. Sant Martí  ,43.4,10083.0,45755.0,47174.0,49115.0,48262.0,15.29,19271.0,3759.3,3067.8,1167.0
2017,1. Ciutat Vella  ,40.0,3172.0,25513.0,17439.0,17464.0,25154.0,44.74,13612.0,5193.4,4170.9,604.0
2017,2. Eixample  ,44.7,7003.0,32828.0,39062.0,61804.0,92334.0,20.04,23868.0,4825.7,4280.6,4465.0
2017,3. Sants-Montjuïc  ,43.8,7237.0,40155.0,36499.0,37915.0,36810.0,19.52,17827.0,3967.5,3327.5,1206.0
2017,4. Les Corts  ,45.6,2197.0,9199.0,11187.0,19593.0,28706.0,11.94,27882.0,7169.8,4369.6,266.0
2017,5. Sarrià-Sant Gervasi  ,42.8,2824.0,9425.0,14510.0,35034.0,60757.0,11.92,33242.0,4515.4,5119.2,512.0
2017,6. Gràcia  ,44.2,3393.0,14939.0,17770.0,27256.0,42057.0,16.13,22737.0,3858.6,4090.8,1080.0
2017,7. Horta-Guinardó  ,45.2,8437.0,32730.0,35023.0,37050.0,32119.0,12.45,18758.0,2605.0,2711.5,253.0
2017,8. Nou Barris  ,44.6,10392.0,43447.0,40184.0,30677.0,17658.0,15.77,15197.0,2583.4,2112.9,23.0
2017,9. Sant Andreu  ,44.1,5915.0,29978.0,31796.0,32777.0,25728.0,11.93,18654.0,3747.9,2814.4,81.0
2017,10. Sant Martí  ,43.5,10083.0,45755.0,47174.0,49115.0,48262.0,16.39,19210.0,3439.8,3644.4,1167.0
2018,1. Ciutat Vella  ,39.8,3172.0,25513.0,17439.0,17464.0,25154.0,45.66,14505.0,6972.8,4362.5,607.0
2018,2. Eixample  ,44.7,7003.0,32828.0,39062.0,61804.0,92334.0,20.56,24234.0,3925.3,4433.2,4471.0
2018,3. Sants-Montjuïc  ,43.8,7237.0,40155.0,36499.0,37915.0,36810.0,19.97,18710.0,3637.9,3436.3,1174.0
2018,4. Les Corts  ,45.7,2197.0,9199.0,11187.0,19593.0,28706.0,12.18,27992.0,5882.6,4479.8,266.0
2018,5. Sarrià-Sant Gervasi  ,42.9,2824.0,9425.0,14510.0,35034.0,60757.0,12.04,33113.0,5790.1,5393.7,497.0
2018,6. Gràcia  ,44.1,3393.0,14939.0,17770.0,27256.0,42057.0,16.51,23330.0,4281.9,4358.6,1077.0
2018,7. Horta-Guinardó  ,45.2,8437.0,32730.0,35023.0,37050.0,32119.0,13.2,19354.0,2752.6,3090.6,259.0
2018,8. Nou Barris  ,44.5,10392.0,43447.0,40184.0,30677.0,17658.0,16.77,15924.0,2273.3,2273.3,21.0
2018,9. Sant Andreu  ,44.2,5915.0,29978.0,31796.0,32777.0,25728.0,12.42,19318.0,3916.0,3274.2,78.0
2018,10. Sant Martí  ,43.5,10083.0,45755.0,47174.0,49115.0,48262.0,17.09,19806.0,4265.3,3747.0,1131.0
